"Chiropractors","{""emoji"":{""char"":""🦴""}}"
"Secretarial Schools","{""emoji"":{""char"":""📝""}}"
"Technical and Vocational Training","{""emoji"":{""char"":""🔧""}}"
"Magnetic and Optical Media Manufacturing","{""emoji"":{""char"":""💿""}}"
"Cosmetology and Barber Schools","{""emoji"":{""char"":""💇""}}"
"Flight Training","{""emoji"":{""char"":""✈️""}}"
"Electric Lighting Equipment Manufacturing","{""emoji"":{""char"":""💡""}}"
"Fine Arts Schools","{""emoji"":{""char"":""🎨""}}"
"Sports and Recreation Instruction","{""emoji"":{""char"":""⚽""}}"
"Household Appliance Manufacturing","{""emoji"":{""char"":""🔌""}}"
"Language Schools","{""emoji"":{""char"":""🗣️""}}"
"Physicians","{""emoji"":{""char"":""🧑‍⚕️""}}"
"Courts of Law","{""emoji"":{""char"":""⚖️""}}"
"Correctional Institutions","{""emoji"":{""char"":""🔒""}}"
"Dentists","{""emoji"":{""char"":""🦷""}}"
"Fire Protection","{""emoji"":{""char"":""🚒""}}"
